'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'AlternateSuccession(Response, Query)';'AlternateSuccession';'Response';'Query';7.595;3.700;3.700
'ChainSuccession(Response, Query)';'ChainSuccession';'Response';'Query';7.595;3.700;3.700
'RespondedExistence(Response, Query)';'RespondedExistence';'Response';'Query';100.000;48.718;48.718
'Response(Response, Query)';'Response';'Response';'Query';15.789;7.692;7.692
'AlternateResponse(Response, Query)';'AlternateResponse';'Response';'Query';15.789;7.692;7.692
'ChainResponse(Response, Query)';'ChainResponse';'Response';'Query';15.789;7.692;7.692
'NotChainSuccession(Response, Query)';'NotChainSuccession';'Response';'Query';92.405;45.018;45.018
'NotSuccession(Response, Query)';'NotSuccession';'Response';'Query';92.405;45.018;45.018
'NotCoExistence(Response, Query)';'NotCoExistence';'Response';'Query';48.101;23.434;23.434
'CoExistence(Response, Request)';'CoExistence';'Response';'Request';0.000;0.000;0.000
'Succession(Response, Request)';'Succession';'Response';'Request';0.000;0.000;0.000
'AlternateSuccession(Response, Request)';'AlternateSuccession';'Response';'Request';0.000;0.000;0.000
'ChainSuccession(Response, Request)';'ChainSuccession';'Response';'Request';0.000;0.000;0.000
'RespondedExistence(Response, Request)';'RespondedExistence';'Response';'Request';0.000;0.000;0.000
'Response(Response, Request)';'Response';'Response';'Request';0.000;0.000;0.000
'AlternateResponse(Response, Request)';'AlternateResponse';'Response';'Request';0.000;0.000;0.000
'ChainResponse(Response, Request)';'ChainResponse';'Response';'Request';0.000;0.000;0.000
'NotChainSuccession(Response, Request)';'NotChainSuccession';'Response';'Request';100.000;48.718;24.984
'NotSuccession(Response, Request)';'NotSuccession';'Response';'Request';100.000;48.718;24.984
'NotCoExistence(Response, Request)';'NotCoExistence';'Response';'Request';100.000;48.718;24.984
