case ID,resource,activity name,resource+activity,Sitter,New,New
21,A,link(dataset),A|link(dataset),A|assert,Answer,Answer
21,U,success(),U|success(),U|be contented,Feedback,Feedback
22,U,question(data),U|question(data),U|request,Query,Query
22,A,list(keywords),A|list(keywords),A|offer,Request,Request
22,U,set(keywords),U|set(keywords),U|request,Query,Query
22,A,top(keywords),A|top(keywords),A|assert,Answer,Answer
22,U,set(keywords),U|set(keywords),U|request,Query,Query
22,A,list(keywords),A|list(keywords),A|offer,Request,Request
22,U,set(keywords),U|set(keywords),U|request,Query,Query
22,A,count(data),A|count(data),A|assert,Answer,Answer
22,U,reject(),U|reject(),U|reject,Feedback,Feedback
22,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
22,U,reject(),U|reject(),U|reject,Feedback,Feedback
22,A,list(keywords),A|list(keywords),A|offer,Request,Request
22,U,success(),U|success(),U|be contented,Feedback,Feedback
22,A,verify(),A|verify(),A|request*,Request,Request
22,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
22,A,success(),A|success(),A|be contented*,Answer,Answer
22,U,success(),U|success(),U|be contented,Feedback,Feedback
23,A,list(keywords),A|list(keywords),A|offer,Request,Request
23,U,set(keywords),U|set(keywords),U|request,Query,Query
23,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
23,U,set(keywords),U|set(keywords),U|request,Query,Query
23,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
23,U,set(keywords),U|set(keywords),U|request,Query,Query
23,A,list(keywords),A|list(keywords),A|offer,Request,Request
23,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
23,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
23,U,set(keywords),U|set(keywords),U|request,Query,Query
23,A,link(dataset),A|link(dataset),A|assert,Answer,Answer
23,U,success(),U|success(),U|be contented,Feedback,Feedback
24,U,question(data),U|question(data),U|request,Query,Query
24,A,list(keywords),A|list(keywords),A|offer,Request,Request
24,U,set(keywords),U|set(keywords),U|request,Query,Query
24,A,list(keywords),A|list(keywords),A|offer,Request,Request
24,U,set(keywords),U|set(keywords),U|request,Query,Query
24,A,confirm(),A|confirm(),A|promise,Answer,Answer
24,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
24,A,list(keywords),A|list(keywords),A|offer,Request,Request
24,U,set(keywords),U|set(keywords),U|request,Query,Query
24,A,confirm(),A|confirm(),A|promise,Answer,Answer
